"server_time  : 2023-12-03 23:26:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202191140, file_dirname : C:\Python312\Lib\site-packages\pkg_park4139 를 파일자동정리완료 " 
"server_time  : 2023-12-03 23:27:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 23 27 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 23:27:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202191140, file_dirname : C:\Python312\Lib\site-packages\pkg_park4139 를 파일자동정리완료 " 
"server_time  : 2023-12-03 23:28:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 23 28 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 23:28:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202191140, file_dirname : C:\Python312\Lib\site-packages\pkg_park4139 를 파일자동정리완료 " 
"server_time  : 2023-12-03 23:29:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 23 29 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 23:29:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202191140, file_dirname : C:\Python312\Lib\site-packages\pkg_park4139 를 파일자동정리완료 " 
"server_time  : 2023-12-03 23:30:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 23 30 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 23:30:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202191140, file_dirname : C:\Python312\Lib\site-packages\pkg_park4139 를 파일자동정리완료 " 
"server_time  : 2023-12-03 23:32:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 23 32 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 23:32:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202191140, file_dirname : C:\Python312\Lib\site-packages\pkg_park4139 를 파일자동정리완료 " 
"server_time  : 2023-12-03 23:32:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202191140, file_dirname : C:\Python312\Lib\site-packages\pkg_park4139 를 파일자동정리완료 " 
"server_time  : 2023-12-03 23:33:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 23 33 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 23:33:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202191140, file_dirname : C:\Python312\Lib\site-packages\pkg_park4139 를 파일자동정리완료 " 
"server_time  : 2023-12-03 23:34:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 23 34 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 23:34:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202191140, file_dirname : C:\Python312\Lib\site-packages\pkg_park4139 를 파일자동정리완료 " 
"server_time  : 2023-12-03 23:35:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 23 35 01.zip 를 1번 째 백업성공 " 
